TransactionID,CustomerID,OrderDate,Category,Product,Quantity,UnitPrice,TotalAmount,Segment
TXN8107,CUST01336,2023-01-04,Women's Clothing,Jeans,4,47.21,188.84,At-Risk
TXN7016,CUST01124,2023-01-05,Women's Clothing,Jeans,3,86.59,259.77,Loyal
TXN9249,CUST01541,2023-01-06,Accessories,Sunglasses,3,47.62,142.86,Loyal
TXN13340,CUST02306,2023-01-06,Men's Clothing,Sweater,2,79.75,159.5,Others
TXN2208,CUST00221,2023-01-06,Women's Clothing,Skirt,2,88.52,177.04,Others
TXN7930,CUST01299,2023-01-07,Women's Clothing,Jeans,5,48.89,244.45,Champions
TXN11223,CUST01909,2023-01-07,Women's Clothing,Jeans,3,48.8,146.4,Lost
TXN15335,CUST02657,2023-01-07,Footwear,Loafers,2,148.24,296.48,Loyal
TXN13432,CUST02321,2023-01-08,Accessories,Handbag,3,73.98,221.94,Lost
TXN11555,CUST01962,2023-01-09,Men's Clothing,Shirt,5,84.23,421.15,Loyal
TXN11049,CUST01884,2023-01-10,Footwear,Loafers,2,167.35,334.7,At-Risk
TXN15952,CUST02771,2023-01-10,Accessories,Wallet,4,76.19,304.76,Loyal
TXN7282,CUST01180,2023-01-11,Accessories,Belt,1,41.83,41.83,Champions
TXN4837,CUST00711,2023-01-11,Women's Clothing,Skirt,2,48.6,97.2,Champions
TXN15870,CUST02758,2023-01-11,Women's Clothing,Dress,1,50.65,50.65,Champions
TXN2605,CUST00293,2023-01-12,Men's Clothing,Pants,4,62.49,249.96,Champions
TXN17358,CUST03002,2023-01-12,Women's Clothing,Blouse,5,142.62,713.1,Champions
TXN2608,CUST00293,2023-01-13,Women's Clothing,Jacket,3,38.86,116.58,Champions
TXN10771,CUST01825,2023-01-13,Women's Clothing,Jeans,2,74.61,149.22,At-Risk
TXN5006,CUST00740,2023-01-14,Women's Clothing,Skirt,3,42.62,127.86,Loyal
TXN3891,CUST00536,2023-01-14,Men's Clothing,Jacket,1,63.85,63.85,Loyal
TXN14435,CUST02494,2023-01-14,Footwear,Loafers,5,73.66,368.3,At-Risk
TXN17323,CUST02995,2023-01-15,Accessories,Sunglasses,2,54.72,109.44,Champions
TXN4507,CUST00652,2023-01-15,Men's Clothing,Jacket,3,63.28,189.84,Champions
TXN13675,CUST02360,2023-01-16,Accessories,Wallet,3,15.94,47.82,Champions
TXN4898,CUST00719,2023-01-16,Men's Clothing,Pants,2,41.23,82.46,Champions
TXN12292,CUST02093,2023-01-16,Men's Clothing,Pants,4,72.43,289.72,Loyal
TXN17321,CUST02995,2023-01-17,Footwear,Loafers,2,124.47,248.94,Champions
TXN6976,CUST01119,2023-01-17,Women's Clothing,Skirt,2,41.66,83.32,Loyal
TXN10212,CUST01720,2023-01-17,Women's Clothing,Jacket,5,146.39,731.95,Loyal
TXN4298,CUST00608,2023-01-17,Women's Clothing,Skirt,3,143.5,430.5,Loyal
TXN11232,CUST01910,2023-01-19,Accessories,Scarf,4,65.89,263.56,Champions
TXN13403,CUST02317,2023-01-19,Women's Clothing,Dress,3,80.14,240.42,Loyal
TXN4902,CUST00719,2023-01-20,Footwear,Loafers,4,113.31,453.24,Champions
TXN11627,CUST01973,2023-01-20,Men's Clothing,T-Shirt,5,111.0,555.0,Lost
TXN18479,CUST03206,2023-01-20,Women's Clothing,Jacket,5,113.15,565.75,At-Risk
TXN9478,CUST01583,2023-01-20,Men's Clothing,Jacket,5,109.43,547.15,At-Risk
TXN13940,CUST02400,2023-01-20,Women's Clothing,Blouse,2,126.78,253.56,Loyal
TXN18263,CUST03171,2023-01-21,Women's Clothing,Blouse,2,142.62,285.24,Loyal
TXN10849,CUST01843,2023-01-21,Men's Clothing,Jacket,1,60.03,60.03,Champions
TXN13894,CUST02394,2023-01-21,Women's Clothing,Jeans,2,35.55,71.1,Loyal
TXN4838,CUST00711,2023-01-22,Footwear,Sneakers,4,63.84,255.36,Champions
TXN7011,CUST01123,2023-01-22,Accessories,Sunglasses,5,44.61,223.05,Champions
TXN7827,CUST01282,2023-01-22,Women's Clothing,Dress,2,118.05,236.1,Loyal
TXN12456,CUST02126,2023-01-22,Women's Clothing,Jeans,2,107.36,214.72,Loyal
TXN13677,CUST02360,2023-01-22,Accessories,Scarf,3,52.12,156.36,Champions
TXN12395,CUST02115,2023-01-23,Women's Clothing,Skirt,3,96.95,290.85,Lost
TXN17088,CUST02955,2023-01-24,Men's Clothing,Sweater,4,73.93,295.72,At-Risk
TXN4212,CUST00592,2023-01-24,Women's Clothing,Jacket,4,124.99,499.96,Champions
TXN4297,CUST00608,2023-01-24,Women's Clothing,Jeans,4,140.34,561.36,Loyal
TXN2084,CUST00196,2023-01-25,Footwear,Sneakers,3,56.48,169.44,At-Risk
TXN5838,CUST00897,2023-01-26,Women's Clothing,Jeans,4,62.15,248.6,Loyal
TXN18375,CUST03191,2023-01-26,Accessories,Scarf,4,63.98,255.92,Champions
TXN3258,CUST00416,2023-01-27,Women's Clothing,Jacket,3,65.55,196.65,Loyal
TXN7280,CUST01180,2023-01-27,Accessories,Belt,1,75.0,75.0,Champions
TXN17091,CUST02955,2023-01-27,Men's Clothing,Pants,5,93.13,465.65,At-Risk
TXN5252,CUST00787,2023-01-27,Women's Clothing,Jacket,5,123.78,618.9,At-Risk
TXN11534,CUST01959,2023-01-27,Men's Clothing,Pants,1,58.4,58.4,Loyal
TXN10496,CUST01774,2023-01-28,Men's Clothing,Pants,4,81.5,326.0,Loyal
TXN1441,CUST00069,2023-01-28,Footwear,Loafers,1,113.94,113.94,Champions
TXN3114,CUST00388,2023-01-28,Men's Clothing,Pants,2,60.39,120.78,Others
TXN3999,CUST00556,2023-01-28,Accessories,Sunglasses,2,61.69,123.38,Lost
TXN10217,CUST01722,2023-01-28,Footwear,Sandals,3,88.94,266.82,Lost
TXN16893,CUST02924,2023-01-29,Men's Clothing,T-Shirt,5,106.71,533.55,At-Risk
TXN12455,CUST02126,2023-01-29,Women's Clothing,Skirt,3,126.5,379.5,Loyal
TXN4487,CUST00649,2023-01-29,Women's Clothing,Jeans,4,80.02,320.08,At-Risk
TXN11239,CUST01910,2023-01-29,Women's Clothing,Blouse,5,138.24,691.2,Champions
TXN9669,CUST01622,2023-01-30,Accessories,Scarf,2,47.83,95.66,Champions
TXN1031,CUST00006,2023-01-30,Women's Clothing,Blouse,4,115.76,463.04,Champions
TXN8759,CUST01458,2023-01-30,Women's Clothing,Dress,2,128.61,257.22,At-Risk
TXN1415,CUST00067,2023-01-30,Women's Clothing,Jacket,5,55.77,278.85,Champions
TXN14575,CUST02517,2023-01-30,Accessories,Scarf,5,49.02,245.1,Loyal
TXN10499,CUST01774,2023-01-31,Women's Clothing,Skirt,3,94.5,283.5,Loyal
TXN9596,CUST01610,2023-01-31,Men's Clothing,T-Shirt,3,44.94,134.82,Champions
TXN18418,CUST03198,2023-01-31,Men's Clothing,Sweater,4,33.24,132.96,Champions
TXN13084,CUST02255,2023-02-01,Women's Clothing,Dress,3,108.16,324.48,Champions
TXN1818,CUST00145,2023-02-01,Women's Clothing,Dress,3,121.46,364.38,Lost
TXN9505,CUST01589,2023-02-01,Men's Clothing,Shirt,2,106.96,213.92,Loyal
TXN2728,CUST00311,2023-02-01,Accessories,Belt,5,63.36,316.8,Loyal
TXN5204,CUST00778,2023-02-01,Women's Clothing,Blouse,2,76.86,153.72,Others
TXN16531,CUST02868,2023-02-01,Men's Clothing,Sweater,4,80.08,320.32,Loyal
TXN5357,CUST00808,2023-02-01,Men's Clothing,T-Shirt,3,65.81,197.43,Champions
TXN4514,CUST00652,2023-02-02,Accessories,Wallet,2,73.89,147.78,Champions
TXN12728,CUST02184,2023-02-02,Women's Clothing,Skirt,5,50.8,254.0,Loyal
TXN15868,CUST02758,2023-02-02,Women's Clothing,Dress,2,107.84,215.68,Champions
TXN7590,CUST01239,2023-02-02,Men's Clothing,T-Shirt,2,109.6,219.2,Champions
TXN4206,CUST00592,2023-02-03,Accessories,Belt,4,79.91,319.64,Champions
TXN13331,CUST02305,2023-02-03,Footwear,Sneakers,2,65.44,130.88,Loyal
TXN9746,CUST01640,2023-02-04,Women's Clothing,Jeans,5,114.45,572.25,Lost
TXN5459,CUST00825,2023-02-04,Men's Clothing,T-Shirt,4,104.01,416.04,Champions
TXN15758,CUST02740,2023-02-04,Men's Clothing,Pants,2,95.76,191.52,Loyal
TXN15034,CUST02601,2023-02-04,Men's Clothing,T-Shirt,1,38.77,38.77,Loyal
TXN17463,CUST03022,2023-02-04,Men's Clothing,Sweater,3,35.65,106.95,At-Risk
TXN9476,CUST01583,2023-02-04,Women's Clothing,Jacket,2,83.37,166.74,At-Risk
TXN6413,CUST01011,2023-02-04,Women's Clothing,Jacket,5,68.43,342.15,Champions
TXN17252,CUST02985,2023-02-04,Women's Clothing,Jeans,1,123.56,123.56,Loyal
TXN16106,CUST02794,2023-02-04,Women's Clothing,Dress,3,121.84,365.52,Others
TXN5690,CUST00868,2023-02-05,Women's Clothing,Jeans,3,85.19,255.57,Champions
TXN11237,CUST01910,2023-02-05,Women's Clothing,Skirt,3,101.75,305.25,Champions
TXN9743,CUST01639,2023-02-05,Women's Clothing,Skirt,1,99.07,99.07,Champions
TXN5617,CUST00858,2023-02-05,Accessories,Belt,2,78.45,156.9,At-Risk
TXN12065,CUST02060,2023-02-05,Women's Clothing,Skirt,4,67.71,270.84,Lost
TXN4028,CUST00564,2023-02-05,Men's Clothing,Pants,1,55.03,55.03,Loyal
TXN3382,CUST00440,2023-02-05,Footwear,Heels,3,171.11,513.33,Others
TXN4900,CUST00719,2023-02-05,Women's Clothing,Blouse,2,129.93,259.86,Champions
TXN7003,CUST01123,2023-02-06,Men's Clothing,Shirt,5,36.22,181.1,Champions
TXN6689,CUST01069,2023-02-06,Men's Clothing,Shirt,1,99.28,99.28,Loyal
TXN4582,CUST00660,2023-02-06,Women's Clothing,Jeans,2,130.81,261.62,Champions
TXN6234,CUST00981,2023-02-06,Men's Clothing,Shirt,2,43.1,86.2,At-Risk
TXN13743,CUST02371,2023-02-06,Women's Clothing,Jacket,5,123.17,615.85,Champions
TXN6467,CUST01026,2023-02-06,Accessories,Scarf,5,26.42,132.1,Others
TXN2592,CUST00291,2023-02-06,Women's Clothing,Skirt,1,138.03,138.03,Champions
TXN18443,CUST03202,2023-02-06,Women's Clothing,Dress,2,129.78,259.56,Loyal
TXN12648,CUST02167,2023-02-06,Women's Clothing,Jacket,4,74.67,298.68,Lost
TXN4000,CUST00556,2023-02-06,Men's Clothing,Sweater,2,35.7,71.4,Lost
TXN11531,CUST01959,2023-02-07,Accessories,Wallet,1,21.22,21.22,Loyal
TXN7552,CUST01231,2023-02-07,Men's Clothing,T-Shirt,2,93.93,187.86,At-Risk
TXN14436,CUST02494,2023-02-07,Women's Clothing,Jeans,4,84.33,337.32,At-Risk
TXN16570,CUST02874,2023-02-07,Accessories,Scarf,4,38.09,152.36,Loyal
TXN1645,CUST00114,2023-02-07,Accessories,Wallet,2,74.8,149.6,Champions
TXN13640,CUST02356,2023-02-07,Women's Clothing,Blouse,3,137.96,413.88,Champions
TXN14714,CUST02543,2023-02-08,Women's Clothing,Skirt,2,121.96,243.92,Champions
TXN5007,CUST00740,2023-02-08,Women's Clothing,Jeans,5,131.47,657.35,Loyal
TXN2544,CUST00284,2023-02-08,Footwear,Heels,3,106.95,320.85,Loyal
TXN1962,CUST00175,2023-02-08,Women's Clothing,Blouse,1,113.01,113.01,At-Risk
TXN9583,CUST01608,2023-02-08,Women's Clothing,Dress,1,43.09,43.09,Champions
TXN9612,CUST01611,2023-02-09,Footwear,Sandals,1,92.01,92.01,Loyal
TXN4002,CUST00558,2023-02-09,Women's Clothing,Skirt,2,54.84,109.68,Champions
TXN4474,CUST00646,2023-02-09,Accessories,Scarf,5,20.83,104.15,Loyal
TXN5683,CUST00868,2023-02-09,Women's Clothing,Jeans,5,56.72,283.6,Champions
TXN3902,CUST00537,2023-02-09,Women's Clothing,Blouse,2,137.6,275.2,Champions
TXN4318,CUST00610,2023-02-10,Accessories,Handbag,2,43.05,86.1,Champions
TXN3854,CUST00525,2023-02-10,Women's Clothing,Skirt,2,108.31,216.62,Champions
TXN17254,CUST02985,2023-02-10,Women's Clothing,Blouse,2,81.78,163.56,Loyal
TXN12105,CUST02067,2023-02-10,Women's Clothing,Jacket,5,82.02,410.1,Loyal
TXN18693,CUST03239,2023-02-10,Women's Clothing,Jeans,4,91.79,367.16,Loyal
TXN13083,CUST02255,2023-02-10,Women's Clothing,Skirt,2,49.04,98.08,Champions
TXN7554,CUST01231,2023-02-11,Accessories,Scarf,1,17.66,17.66,At-Risk
TXN16928,CUST02928,2023-02-11,Women's Clothing,Blouse,3,139.35,418.05,Loyal
TXN9521,CUST01593,2023-02-11,Women's Clothing,Blouse,2,147.38,294.76,Loyal
TXN5582,CUST00852,2023-02-11,Accessories,Handbag,3,15.74,47.22,Loyal
TXN3971,CUST00547,2023-02-11,Women's Clothing,Dress,1,52.93,52.93,Champions
TXN9668,CUST01622,2023-02-11,Women's Clothing,Blouse,3,81.27,243.81,Champions
TXN7993,CUST01311,2023-02-12,Women's Clothing,Blouse,4,36.28,145.12,Loyal
TXN2888,CUST00345,2023-02-12,Men's Clothing,Shirt,3,32.56,97.68,At-Risk
TXN6505,CUST01033,2023-02-12,Women's Clothing,Skirt,1,63.02,63.02,Loyal
TXN4808,CUST00703,2023-02-12,Women's Clothing,Jacket,5,46.55,232.75,Loyal
TXN15754,CUST02740,2023-02-12,Women's Clothing,Jeans,2,140.13,280.26,Loyal
TXN1961,CUST00175,2023-02-12,Men's Clothing,Pants,2,60.97,121.94,At-Risk
TXN9495,CUST01588,2023-02-12,Footwear,Boots,4,97.71,390.84,Champions
TXN2581,CUST00291,2023-02-13,Women's Clothing,Blouse,3,67.68,203.04,Champions
TXN18725,CUST03244,2023-02-13,Footwear,Boots,3,102.97,308.91,Champions
TXN10501,CUST01775,2023-02-13,Men's Clothing,Jacket,4,117.64,470.56,Lost
TXN13650,CUST02356,2023-02-13,Women's Clothing,Blouse,2,43.04,86.08,Champions
TXN2886,CUST00345,2023-02-13,Women's Clothing,Jeans,2,70.2,140.4,At-Risk
TXN14539,CUST02513,2023-02-13,Women's Clothing,Jeans,2,92.11,184.22,Champions
TXN6452,CUST01022,2023-02-13,Women's Clothing,Jacket,3,95.46,286.38,Loyal
TXN1610,CUST00106,2023-02-13,Women's Clothing,Blouse,1,66.96,66.96,At-Risk
TXN3426,CUST00446,2023-02-13,Women's Clothing,Jacket,4,54.36,217.44,Champions
TXN17325,CUST02995,2023-02-13,Women's Clothing,Skirt,3,74.52,223.56,Champions
TXN17172,CUST02969,2023-02-14,Accessories,Belt,1,42.06,42.06,Champions
TXN7279,CUST01180,2023-02-14,Women's Clothing,Skirt,5,99.84,499.2,Champions
TXN4315,CUST00610,2023-02-14,Men's Clothing,Jacket,5,68.59,342.95,Champions
TXN2842,CUST00335,2023-02-14,Women's Clothing,Blouse,1,108.86,108.86,Champions
TXN9740,CUST01639,2023-02-14,Men's Clothing,T-Shirt,3,103.09,309.27,Champions
TXN1438,CUST00069,2023-02-14,Men's Clothing,Sweater,3,43.37,130.11,Champions
TXN12293,CUST02093,2023-02-15,Men's Clothing,Pants,1,63.14,63.14,Loyal
TXN9498,CUST01588,2023-02-15,Women's Clothing,Jacket,3,111.75,335.25,Champions
TXN1444,CUST00069,2023-02-15,Accessories,Sunglasses,1,22.41,22.41,Champions
TXN8947,CUST01488,2023-02-15,Men's Clothing,T-Shirt,5,78.46,392.3,Champions
TXN17443,CUST03017,2023-02-15,Men's Clothing,Shirt,1,47.24,47.24,Loyal
TXN14671,CUST02536,2023-02-15,Women's Clothing,Blouse,3,65.99,197.97,Loyal
TXN7702,CUST01261,2023-02-15,Women's Clothing,Skirt,2,46.75,93.5,Loyal
TXN7464,CUST01213,2023-02-15,Accessories,Belt,3,33.1,99.3,Loyal
TXN11736,CUST01995,2023-02-15,Accessories,Handbag,5,24.15,120.75,Loyal
TXN14033,CUST02420,2023-02-15,Women's Clothing,Blouse,4,144.04,576.16,Loyal
TXN16243,CUST02821,2023-02-16,Footwear,Sandals,2,50.66,101.32,Loyal
TXN6973,CUST01119,2023-02-16,Accessories,Handbag,5,21.34,106.7,Loyal
TXN10500,CUST01774,2023-02-16,Men's Clothing,Sweater,2,102.58,205.16,Loyal
TXN5504,CUST00837,2023-02-17,Men's Clothing,Pants,5,63.91,319.55,Others
TXN5961,CUST00919,2023-02-17,Women's Clothing,Blouse,3,102.12,306.36,Champions
TXN15759,CUST02740,2023-02-17,Women's Clothing,Dress,2,83.05,166.1,Loyal
TXN18376,CUST03191,2023-02-17,Women's Clothing,Jacket,5,132.37,661.85,Champions
TXN9432,CUST01573,2023-02-17,Women's Clothing,Jeans,1,51.47,51.47,Champions
TXN8051,CUST01318,2023-02-17,Men's Clothing,Jacket,3,97.61,292.83,At-Risk
TXN7467,CUST01213,2023-02-17,Women's Clothing,Dress,5,68.05,340.25,Loyal
TXN2221,CUST00224,2023-02-17,Women's Clothing,Dress,4,45.94,183.76,Champions
TXN17812,CUST03085,2023-02-17,Footwear,Heels,3,151.13,453.39,Loyal
TXN10468,CUST01767,2023-02-18,Men's Clothing,T-Shirt,1,85.55,85.55,Loyal
TXN13803,CUST02380,2023-02-18,Women's Clothing,Jeans,1,115.36,115.36,Champions
TXN3214,CUST00407,2023-02-18,Men's Clothing,Jacket,5,109.27,546.35,At-Risk
TXN18291,CUST03176,2023-02-18,Accessories,Scarf,4,57.63,230.52,Champions
TXN13283,CUST02297,2023-02-18,Women's Clothing,Blouse,5,51.24,256.2,Champions
TXN5075,CUST00751,2023-02-18,Men's Clothing,Shirt,1,31.64,31.64,Loyal
TXN5585,CUST00852,2023-02-19,Footwear,Sneakers,5,169.62,848.1,Loyal
TXN16424,CUST02849,2023-02-19,Footwear,Sandals,1,68.76,68.76,Champions
TXN4031,CUST00564,2023-02-19,Women's Clothing,Skirt,2,144.72,289.44,Loyal
TXN13180,CUST02275,2023-02-19,Women's Clothing,Jacket,2,82.54,165.08,Lost
TXN17340,CUST02997,2023-02-20,Women's Clothing,Jacket,2,139.45,278.9,Others
TXN18296,CUST03176,2023-02-20,Accessories,Handbag,1,50.24,50.24,Champions
TXN2144,CUST00211,2023-02-20,Women's Clothing,Skirt,3,92.74,278.22,Loyal
